relative_date,1999-06-15 00:00:00,2000-08-02 00:00:00,2004-01-13 00:00:00,2004-07-20 00:00:00,2005-10-03 00:00:00,2005-12-27 00:00:00,2009-10-01 00:00:00,avg
-42,101.66696953768061,102.68020156408161,93.34207146103107,98.45039073575033,101.49507529311504,94.81432885908649,97.35689941754497,98.54370526689857
-41,101.37108160039358,102.01084692380596,94.40877409925756,98.19693962657828,100.7467216551967,93.82112688535062,97.65014791032,98.3150912429861
-40,99.10233534660469,101.33036875637949,94.3980719069739,98.24293055941689,99.97718209523893,95.37380401135621,97.36563523561995,97.97004684451288
-39,100.3850417807202,102.27010740864242,93.67920684888047,98.63710709655399,99.7089796664904,96.05822116628858,96.81798715609531,98.22237873195306
-38,102.68683021451241,101.59658674866343,93.07986230644329,98.80397149376942,100.38151576564967,95.7199907981444,98.11914399413692,98.6268430459028
-37,104.43142354473918,101.26850633345296,92.23435645420584,100.39506838907866,100.19809682951532,96.67499419055147,97.79094037584879,98.99905515962746
-36,104.28002243716006,100.50740592728727,92.97372225296063,100.56553322561376,100.90569070384828,97.08723188132093,96.55289597110472,98.98178605704223
-35,104.52519316118813,102.13665053712806,92.18976217181122,101.1373974989609,100.30081222983969,97.10315443340585,97.66568154612364,99.29409308263679
-34,104.73731232356043,102.21311524092916,92.33513996790866,101.083280803988,100.58449859221588,97.31564618554329,98.33762241850353,99.51523079037841
-33,103.82351122791478,102.78237510637773,93.83350132400163,101.13017459928597,99.40001747415646,96.97979594263451,97.49866977315676,99.34972077821827
-32,103.2025208875456,101.79050605684962,93.99493785216255,101.47202915585112,99.47338703883302,97.14374285476688,95.13327219446002,98.8871994343527
-31,102.61459149048471,103.28769378143075,94.4016320462178,100.71887670697434,99.37393560395202,97.96424488438225,96.09846155961496,99.20849086757956
-30,104.10940770532005,102.58914306417113,94.3793349050205,101.24743661382536,99.4301793011651,98.26348005785356,96.75778468662061,99.5395380477109
-29,102.37019006195925,102.8101796818722,95.4424665167271,102.8637916369612,99.59485033822843,98.187082895196,97.81715968328689,99.8693886877473
-28,103.54683691488862,100.9369641340491,95.1303065399649,103.02254128256017,99.25735830160752,97.80906071903486,99.6387851831517,99.905979010751
-27,102.37403653947241,100.19323204220663,94.9617388460402,102.04388241868045,98.60520208424096,97.98414078839073,99.5844026413226,99.39237648005057
-26,103.36929852352492,101.15452199802644,95.40678891335622,102.50750229156402,98.83182875804324,98.90652189287765,99.82036455505231,99.99954670463497
-25,103.00808614008139,100.82366706460215,94.67366152373525,101.49909300859645,98.2391802033331,99.34184194103196,99.83201626355667,99.63107802070526
-24,104.1847236113583,101.12045566582921,95.36933668400138,102.10522201332823,98.82449478690982,99.86549863720829,100.10972519392153,100.22563665607954
-23,104.82953396735167,100.25648596662262,94.55593740861494,102.24503356831613,98.50901461480332,100.37324249609661,99.91067418587095,100.09713174395372
-22,105.10314048001976,101.10516611897506,94.45515389491209,102.10883346316568,99.48072100996644,100.72181912291704,99.10375484900132,100.29694127699392
-21,102.8159498974726,102.14360804457556,95.53967900391007,102.37671936116976,99.5834364102908,100.93192103502221,96.9112008241302,100.0432163680816
-20,102.94582949428298,100.52339122488615,95.80100628914384,101.95098668002609,99.29241607678121,100.07321070928121,96.59173895052362,99.59693991784646
-19,102.47163387012961,101.2490507668955,95.2569582213849,102.32169980373752,100.54537081135216,100.07480393596938,97.41612992354321,99.90509247614462
-18,103.31011905973702,102.79419438427331,95.88930209730306,103.19211426715368,100.7874814187821,99.43813500769801,98.69398927118267,100.58647650087569
-17,102.89510289937157,102.5662087438899,96.0097044823133,102.884535452491,100.40515961288574,100.64701518694767,99.56693100517262,100.71066534043882
-16,102.23877187414362,102.93181727549099,97.1424057875017,102.32350552865626,101.20486099985213,100.67963747486782,100.3417992537454,100.98039974203685
-15,100.42193043823669,103.76868663471303,97.09602599184717,102.22608446718728,101.12986940356802,100.44168324011014,101.38758454156098,100.92455210246047
-14,98.71191787901853,103.97164221781581,97.4777447748152,102.48314702619676,100.3668378722687,100.56981169614913,101.25066807672489,100.69025279185557
-13,100.27667431302616,104.95447499242734,97.75245252222257,102.90166781818333,100.03750574925621,100.06605090398128,101.89250771436744,101.12590485906632
-12,98.48212368339063,104.98992434134888,97.5758609059041,101.82830749073052,100.08396750125334,99.94428563989813,102.21197551458059,100.73092072530088
-11,100.0522558042642,103.8256788024263,97.74085757330893,101.50720776021294,100.91384066634252,100.22521813604912,103.77822353761279,101.14904032574528
-10,99.46970209406926,103.0068819930374,98.95292712035688,100.68008665277506,100.35216993000186,100.30958143214758,103.46069966435256,100.8902926981058
-9,99.51197582010418,103.95287391723791,98.96720033916043,100.87130631535774,99.5630565284981,100.86666674438504,103.73356063054825,101.06666289932738
-8,99.8754960900556,102.88385289792912,99.17055287982603,100.03968190614083,98.65492780168145,101.2892506938308,103.38010966829849,100.75626741968031
-7,102.04355844952431,101.77869526371923,98.86373855556768,100.37342171108952,99.01524769417759,101.14599629905099,104.05982032188348,101.04006832785899
-6,102.5638648955733,102.48627377113024,100.08918856478918,100.51231939310026,99.06986935978313,100.85790399760006,103.012091107115,101.22735872701303
-5,101.24273121293604,100.95364518239276,100.21851851609912,100.58357946428325,99.09758321270924,100.26899301078653,102.03234006963288,100.62819866697714
-4,101.34341510725622,100.75902163869664,100.45575225959968,100.25254824671268,99.10003118679177,100.2451140400576,101.4108879585697,100.50953863395489
-3,100.12757171030245,98.69257404866691,100.95432417561001,99.82139839081282,99.20029861303361,100.49739760021201,103.21697389602433,100.35864834780888
-2,99.42205268116838,99.45297870408788,100.05708198793822,99.34335473961502,100.0798974955633,100.92157477634596,102.98684376315337,100.3233977354103
-1,99.44971917430576,99.95829737914089,100.53602414536518,99.29915852117736,100.1720149593109,100.96455303773925,102.6440725459315,100.43197710899584
0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
1,102.24799403852276,100.96337720805408,100.82945800744993,98.66596566370025,99.00301777487913,100.12972168272718,99.54944751580952,100.198425984449
2,102.97734246493349,101.68416649485017,100.96591912452367,98.93294869924495,97.52914830603179,99.83128312259996,101.03024572540538,100.42157913394135
3,103.20329018304824,102.8233819764921,101.65979788425388,97.97323893649408,97.12970063267193,99.34343516772014,102.41491437653698,100.64967987960249
4,103.67671651169897,103.06527414700535,101.56526366696083,97.78111641145205,97.48920453380721,100.97569590975964,102.69262330690185,101.03512778394085
5,102.66838588575418,102.37506395391753,102.35458028789006,98.75164951319748,96.79057661332936,101.34654856582397,103.4597277008761,101.10664750296982
6,102.45166033201856,101.49788347532589,102.02636157906437,98.8048743562288,96.59004176084566,101.34814179251215,104.04330879599684,100.9660388702846
7,101.12361237151006,102.30346950532972,101.81321049002105,99.25676802765841,96.00392113702226,102.30075534488694,104.49968120783294,101.04305972632305
8,101.0874930094962,103.67415786584398,103.04579166500636,99.37311616922064,95.93543756939658,102.67480416912451,104.20837664201079,101.42845387001414
9,102.32023276255046,103.17857121645231,102.03618190199404,99.81508936411507,96.7286209765904,102.63818909968703,106.0368058862108,101.82195588680001
10,103.86500627679457,102.86022282690314,100.64750985135167,99.19001125825446,97.0163872957708,102.99552847329248,106.47765058884985,101.864616653031
11,105.49893363447187,103.9876275154147,101.1496419066059,99.094406932222,96.04141693516432,102.34930989968889,105.6153885998878,101.96238934620793
12,106.13298323508084,103.68527290822962,100.88386172549824,97.47714904662679,97.47779060586961,102.47265867566335,106.60873527282719,102.10549306711367
13,106.9215111252795,104.22464943071468,101.25221093356866,95.96813556149512,96.0137030822382,102.10021279291084,105.94359221817594,101.77485930634042
14,106.68326406077509,104.13081641259036,101.3208878704205,96.08088326373768,96.15961626911634,101.70229471274124,105.00558819732898,101.58333582667288
15,107.27811711735968,104.67575045626825,100.47270374829316,97.32742802562147,97.77289089618341,102.26813305696678,106.12322766312363,102.27403585197376
16,107.16745114481022,104.83840340476658,100.65731928700536,97.0342839997908,97.54137822533025,100.39393501344915,104.83080071655044,101.78051025595754
17,107.84838086281745,104.70911255295555,101.92112516948765,95.90138980260893,97.12073467881685,100.57936134148133,103.60246409335781,101.6689383573608
18,107.52712493724847,105.24014855126877,101.6580232582699,96.04300708251557,96.10337257190326,100.82129864295946,103.25873276587261,101.52167254429116
19,107.1013574031511,104.94474296676601,102.16907199254788,97.35448086784902,97.69381934309511,100.64781180029176,101.24096029517347,101.59317780983919
20,107.45565550872338,104.44081579320252,103.25895364132566,97.56825007088021,98.39488528654134,101.37599411516464,103.52090213382728,102.28792236423784
21,108.33563574721063,105.48968549520907,102.75503607281149,98.78232481578027,98.04842729606536,102.16307724351577,100.61562033020444,102.31282957154244
22,109.03962556699189,105.70446035620742,102.19315464700512,98.42693833284245,99.0266616221152,102.28006282753437,101.26523567565864,102.5623055754793
23,108.1842346396315,104.7529024260489,103.19027670447383,99.0691488043954,99.44892720023611,101.87339171537666,101.51090537093978,102.57568383730032
24,105.83632600229119,103.72211375864066,102.7291679050943,98.82832675913666,99.46523707633878,102.06280111012927,101.61674271095549,102.03724504608375
25,106.00464222927577,104.4352582720097,102.30464035299163,98.87431769197525,99.68289779628596,101.13803988040698,103.57139682175057,102.2873132920994
26,104.59666258971323,103.87850495043625,102.04152755449789,99.66535733259197,99.33887782877834,100.59608050691034,103.83066215248897,101.99252470220242
27,104.28693671503126,103.51428792032466,101.76325966784663,99.67708353404589,99.50681283128503,100.67486750960015,106.13972733579715,102.22328221627583
28,103.58141768589721,103.00896924527166,101.59379921729195,99.9188194522818,100.34727398183682,99.85993205859654,106.13293544467506,102.06330672655015
29,104.74038012391848,103.21193331313961,102.0022898118831,99.14131173803776,100.65378820008826,100.7250055762934,106.66699381534899,102.44881465410137
30,104.93713213954308,102.93112152474623,102.11288276123965,99.6004172986245,100.57553263836078,100.57618460290185,105.57265776656305,102.32941839028275
31,103.06418842185876,101.88434755973913,102.11555014385358,99.75105219260699,100.1883148842994,100.83164490163574,106.17857031521605,102.00195263131567
32,102.11810506005993,100.40384088350163,103.09930262642469,100.86951160095681,100.36765386362954,100.50296417882376,107.71472303011747,102.1537287490734
33,102.06661855129835,101.47355765355516,102.48657762181392,100.44737935913281,101.31247234834153,101.51129209130043,107.81375662579798,102.44452203589147
34,101.61548302891903,100.87857198008116,102.65871634225849,101.13920322387962,101.75838177369853,101.86702852342083,107.76327379108783,102.52580838047793
35,100.32047724841387,100.71940627007177,103.00119738261175,100.68550382753125,102.29477668008143,102.61352323041089,106.3164587435286,102.27876334037852
36,100.9645183089046,100.69646346502536,103.17868175556018,100.87582062765456,102.81487166147582,102.44321312632268,105.97465948978318,102.4211754906752
37,99.93313696283825,100.0229428050464,102.31711717125924,101.37552196735933,103.1719275885286,102.10816921155485,107.4175866834366,102.3352003414319
38,99.74177001573209,99.2013629926785,101.72668930784579,101.54688966635379,103.38714033439327,102.87535643589749,107.36030010439124,102.26278697961318
39,98.48366227439588,99.15687736884038,100.23813738740652,101.77328793329828,102.50754145186359,102.48698800106008,107.8438637871419,101.78433688628665
40,100.0591794637879,101.36165208559771,98.71212235033643,101.05531408878332,102.50917343458525,102.61750629713133,105.98533923481108,101.757183850719
41,99.76943650886946,99.84778331267293,99.94202525543182,101.3376347756194,101.8570172172187,102.99074879322794,106.38734095803122,101.73314097443878
